file,row,col,value,corrected
collected_csvs\june\june_precipitation_1.csv,14,23,tr,0
collected_csvs\june\june_precipitation_1.csv,9,26,ace,0
collected_csvs\june\june_precipitation_1.csv,10,28,trac,0
collected_csvs\june\june_precipitation_1.csv,9,30,trac,0
collected_csvs\june\june_precipitation_1.csv,10,30,tia,0
collected_csvs\june\june_precipitation_1.csv,20,31,"9
bo",0
collected_csvs\june\june_precipitation_2.csv,12,12,•22,0
collected_csvs\june\june_precipitation_2.csv,1,15,10°,0
collected_csvs\june\june_precipitation_2.csv,12,18,OT,0
collected_csvs\june\june_precipitation_2.csv,4,20,2 h,0
collected_csvs\june\june_precipitation_2.csv,11,21,.ol,0
collected_csvs\june\june_precipitation_2.csv,19,23,ST,0
collected_csvs\june\june_precipitation_2.csv,15,24,tr,0
collected_csvs\june\june_precipitation_3.csv,8,2,T,0
collected_csvs\june\june_precipitation_3.csv,15,2,tr.,0
collected_csvs\june\june_precipitation_3.csv,10,3,TR,0
collected_csvs\june\june_precipitation_3.csv,9,5,T,0
collected_csvs\june\june_precipitation_3.csv,6,6,T,0
collected_csvs\june\june_precipitation_3.csv,13,6,IN.,0
collected_csvs\june\june_precipitation_3.csv,15,6,TA.,0
collected_csvs\june\june_precipitation_3.csv,6,7,10',0
collected_csvs\june\june_precipitation_3.csv,1,8,Trac,0
collected_csvs\june\june_precipitation_3.csv,11,9,0-49,0
collected_csvs\june\june_precipitation_3.csv,14,10,T,0
collected_csvs\june\june_precipitation_3.csv,15,10,T2.,0
collected_csvs\june\june_precipitation_3.csv,4,11,"78
:01",0
collected_csvs\june\june_precipitation_3.csv,19,11,1.51.,0
collected_csvs\june\june_precipitation_3.csv,4,12,".09
12",0
collected_csvs\june\june_precipitation_3.csv,12,13,Te.,0
collected_csvs\june\june_precipitation_3.csv,11,14,TR,0
collected_csvs\june\june_precipitation_3.csv,15,14,Tr.,0
collected_csvs\june\june_precipitation_3.csv,3,15,OF,0
collected_csvs\june\june_precipitation_3.csv,4,15,".07
23",0
collected_csvs\june\june_precipitation_3.csv,11,15,TR.,0
collected_csvs\june\june_precipitation_3.csv,12,15,10°,0
collected_csvs\june\june_precipitation_3.csv,4,16,"15
10",0
collected_csvs\june\june_precipitation_3.csv,10,16,TR,0
collected_csvs\june\june_precipitation_3.csv,19,16,TE',0
collected_csvs\june\june_precipitation_3.csv,4,17,"04
.43",0
collected_csvs\june\june_precipitation_3.csv,8,17,T,0
collected_csvs\june\june_precipitation_3.csv,11,17,50'9,0
collected_csvs\june\june_precipitation_3.csv,19,17,Tr.,0
collected_csvs\june\june_precipitation_3.csv,6,18,10°,0
collected_csvs\june\june_precipitation_3.csv,10,18,TR.,0
collected_csvs\june\june_precipitation_3.csv,13,18,TN.,0
collected_csvs\june\june_precipitation_3.csv,19,18,Tr.,0
collected_csvs\june\june_precipitation_3.csv,4,19,",05
30",0
collected_csvs\june\june_precipitation_3.csv,6,19,T,0
collected_csvs\june\june_precipitation_3.csv,4,20,".18
#",0
collected_csvs\june\june_precipitation_3.csv,6,21,T,0
collected_csvs\june\june_precipitation_3.csv,9,21,T,0
collected_csvs\june\june_precipitation_3.csv,11,21,TR.,0
collected_csvs\june\june_precipitation_3.csv,10,22,TR,0
collected_csvs\june\june_precipitation_3.csv,14,24,",01",0
collected_csvs\june\june_precipitation_3.csv,13,25,IN,0
collected_csvs\june\june_precipitation_3.csv,1,26,trace,0
collected_csvs\june\june_precipitation_3.csv,16,26,I,0
collected_csvs\june\june_precipitation_3.csv,13,27,IN.,0
collected_csvs\june\june_precipitation_3.csv,4,28,Trace,0
collected_csvs\june\june_precipitation_3.csv,12,28,TR,0
collected_csvs\june\june_precipitation_3.csv,13,29,70°,0
collected_csvs\june\june_precipitation_3.csv,19,29,Tr.,0
collected_csvs\june\june_precipitation_3.csv,8,31,T,0
collected_csvs\september\september_max_2.csv,2,2,T&,0
collected_csvs\september\september_max_2.csv,20,3,"-67
65",0
collected_csvs\september\september_max_2.csv,20,5,"82
79",0
collected_csvs\september\september_max_2.csv,4,6,G,0
collected_csvs\september\september_max_2.csv,13,6,"V
23",0
collected_csvs\september\september_max_2.csv,13,7,"J
78",0
collected_csvs\september\september_max_2.csv,20,7,"85
8",0
collected_csvs\september\september_max_2.csv,16,8,"77
21",0
collected_csvs\september\september_max_2.csv,17,8,69',0
collected_csvs\september\september_max_2.csv,20,8,"88
85",0
collected_csvs\september\september_max_2.csv,13,9,7/,0
collected_csvs\september\september_max_2.csv,20,9,"88
199",0
collected_csvs\september\september_max_2.csv,20,10,"752
66",0
collected_csvs\september\september_max_2.csv,10,11,D,0
collected_csvs\september\september_max_2.csv,19,12,L2,0
collected_csvs\september\september_max_2.csv,20,12,"98
182",0
collected_csvs\september\september_max_2.csv,20,13,"74
68",0
collected_csvs\september\september_max_2.csv,14,14,"L
69",0
collected_csvs\september\september_max_2.csv,15,14,"46
46",0
collected_csvs\september\september_max_2.csv,20,14,"78
74",0
collected_csvs\september\september_max_2.csv,20,15,"86
78",0
collected_csvs\september\september_max_2.csv,20,16,BO,0
collected_csvs\september\september_max_2.csv,9,18,180°,0
collected_csvs\september\september_max_2.csv,12,18,"J
53",0
collected_csvs\september\september_max_2.csv,20,18,"69
84",0
collected_csvs\september\september_max_2.csv,20,19,"52
69",0
collected_csvs\september\september_max_2.csv,20,21,"19
51",0
collected_csvs\september\september_max_2.csv,1,22,"P
63",0
collected_csvs\september\september_max_2.csv,19,22,"54
52",0
collected_csvs\september\september_max_2.csv,20,22,"66
19",0
collected_csvs\september\september_max_2.csv,3,23,7/,0
collected_csvs\september\september_max_2.csv,5,23,"L
67",0
collected_csvs\september\september_max_2.csv,14,23,"50
50",0
collected_csvs\september\september_max_2.csv,18,23,>>,0
collected_csvs\september\september_max_2.csv,20,23,"-73
66",0
collected_csvs\september\september_max_2.csv,5,24,D,0
collected_csvs\september\september_max_2.csv,10,24,S,0
collected_csvs\september\september_max_2.csv,20,24,"77
73",0
collected_csvs\september\september_max_2.csv,4,25,"L
59",0
collected_csvs\september\september_max_2.csv,8,25,5),0
collected_csvs\september\september_max_2.csv,20,25,"67
77",0
collected_csvs\september\september_max_2.csv,1,26,DZ,0
collected_csvs\september\september_max_2.csv,20,26,"99
67",0
collected_csvs\september\september_max_2.csv,4,27,G,0
collected_csvs\september\september_max_2.csv,20,27,"70
66",0
collected_csvs\september\september_max_2.csv,20,28,"77.
27
70",0
collected_csvs\september\september_max_2.csv,20,29,"82
ZZ",0
collected_csvs\september\september_max_2.csv,5,30,"76
-6.",0
collected_csvs\september\september_max_2.csv,18,30,5-4,0
collected_csvs\september\september_max_2.csv,20,30,"728
82",0
collected_csvs\september\september_max_2.csv,9,31,6./,0
collected_csvs\september\september_max_2.csv,13,31,So,0
collected_csvs\september\september_max_2.csv,20,31,"81
82",0
collected_csvs\september\september_max_3.csv,2,2,T&,0
collected_csvs\september\september_max_3.csv,15,2,63°,0
collected_csvs\september\september_max_3.csv,20,2,"65
66",0
collected_csvs\september\september_max_3.csv,20,3,"67
65",0
collected_csvs\september\september_max_3.csv,17,5,"65
6.",0
collected_csvs\september\september_max_3.csv,20,5,"82
79",0
collected_csvs\september\september_max_3.csv,13,6,"✓
23",0
collected_csvs\september\september_max_3.csv,20,6,"89v
82",0
collected_csvs\september\september_max_3.csv,3,7,J,0
collected_csvs\september\september_max_3.csv,13,7,"J
28",0
collected_csvs\september\september_max_3.csv,20,7,"85
8",0
collected_csvs\september\september_max_3.csv,10,8,"152
57",0
collected_csvs\september\september_max_3.csv,16,8,"77
21",0
collected_csvs\september\september_max_3.csv,20,8,"88.
85",0
collected_csvs\september\september_max_3.csv,20,9,"88
199",0
collected_csvs\september\september_max_3.csv,20,10,"752
66",0
collected_csvs\september\september_max_3.csv,10,11,"D
23",0
collected_csvs\september\september_max_3.csv,20,12,"-68
98",0
collected_csvs\september\september_max_3.csv,20,13,"74
68",0
collected_csvs\september\september_max_3.csv,20,14,"78
74",0
collected_csvs\september\september_max_3.csv,20,15,"82
98",0
collected_csvs\september\september_max_3.csv,20,16,"OR
81",0
collected_csvs\september\september_max_3.csv,13,17,"6
29",0
collected_csvs\september\september_max_3.csv,12,18,"53
r",0
collected_csvs\september\september_max_3.csv,19,18,"20
L",0
collected_csvs\september\september_max_3.csv,20,18,"69 L
84",0
collected_csvs\september\september_max_3.csv,20,19,"52.
69",0
collected_csvs\september\september_max_3.csv,18,21,"25
3",0
collected_csvs\september\september_max_3.csv,20,21,"61
51",0
collected_csvs\september\september_max_3.csv,1,22,"P
63",0
collected_csvs\september\september_max_3.csv,19,22,"54
59",0
collected_csvs\september\september_max_3.csv,20,22,"66
61",0
collected_csvs\september\september_max_3.csv,5,23,G,0
collected_csvs\september\september_max_3.csv,13,23,"L
77",0
collected_csvs\september\september_max_3.csv,20,23,"-73
66",0
collected_csvs\september\september_max_3.csv,18,24,his,0
collected_csvs\september\september_max_3.csv,20,24,"77
73",0
collected_csvs\september\september_max_3.csv,3,25,"69
2",0
collected_csvs\september\september_max_3.csv,8,25,5),0
collected_csvs\september\september_max_3.csv,20,25,"67
77",0
collected_csvs\september\september_max_3.csv,20,26,"19
29",0
collected_csvs\september\september_max_3.csv,20,27,"70
66",0
collected_csvs\september\september_max_3.csv,16,28,J,0
collected_csvs\september\september_max_3.csv,20,28,"772
70",0
collected_csvs\september\september_max_3.csv,2,29,OL,0
collected_csvs\september\september_max_3.csv,20,29,"82
77",0
collected_csvs\september\september_max_3.csv,18,30,5-4,0
collected_csvs\september\september_max_3.csv,20,30,"822
82",0
collected_csvs\september\september_max_3.csv,7,31,"64
54",0
collected_csvs\september\september_max_3.csv,9,31,6./,0
collected_csvs\september\september_max_3.csv,13,31,So,0
collected_csvs\september\september_max_3.csv,20,31,"81
82",0
collected_csvs\november\november_min_1.csv,11,4,"3
38",0
collected_csvs\november\november_min_1.csv,13,4,"J
42",0
collected_csvs\november\november_min_1.csv,19,4,3/,0
collected_csvs\november\november_min_1.csv,17,6,x,0
collected_csvs\november\november_min_1.csv,19,6,3/,0
collected_csvs\november\november_min_1.csv,18,7,"44
tifi",0
collected_csvs\november\november_min_1.csv,3,8,"J
30",0
collected_csvs\november\november_min_1.csv,13,8,"L
32",0
collected_csvs\november\november_min_1.csv,2,9,"43
63",0
collected_csvs\november\november_min_1.csv,4,9,"2
37",0
collected_csvs\november\november_min_1.csv,13,9,"J
34",0
collected_csvs\november\november_min_1.csv,19,9,3/,0
collected_csvs\november\november_min_1.csv,19,11,/7,0
collected_csvs\november\november_min_1.csv,12,12,x,0
collected_csvs\november\november_min_1.csv,18,12,ng,0
collected_csvs\november\november_min_1.csv,14,13,"44
44",0
collected_csvs\november\november_min_1.csv,9,14,-50-,0
collected_csvs\november\november_min_1.csv,12,15,x,0
collected_csvs\november\november_min_1.csv,12,16,X,0
collected_csvs\november\november_min_1.csv,6,18,"L
25",0
collected_csvs\november\november_min_1.csv,3,20,"J
35",0
collected_csvs\november\november_min_1.csv,17,20,x,0
collected_csvs\november\november_min_1.csv,14,22,"30
36",0
collected_csvs\november\november_min_1.csv,18,22,3 2,0
collected_csvs\november\november_min_1.csv,18,23,3/,0
collected_csvs\november\november_min_1.csv,19,24,3/,0
collected_csvs\november\november_min_1.csv,19,25,3/,0
collected_csvs\november\november_min_1.csv,19,28,2.2.,0
collected_csvs\november\november_min_1.csv,5,29,"L
3",0
collected_csvs\november\november_min_1.csv,14,30,2/,0
collected_csvs\november\november_min_1.csv,2,31,"33
35",0
collected_csvs\november\november_min_1.csv,13,31,"20
30",0
collected_csvs\november\november_min_2.csv,13,2,ba,0
collected_csvs\november\november_min_2.csv,18,2,"38
38",0
collected_csvs\november\november_min_2.csv,20,3,"✓
38",0
collected_csvs\november\november_min_2.csv,2,5,GIT,0
collected_csvs\november\november_min_2.csv,3,5,ht,0
collected_csvs\november\november_min_2.csv,8,5,IC,0
collected_csvs\november\november_min_2.csv,4,6,"Ta
3",0
collected_csvs\november\november_min_2.csv,19,8,"44""",0
collected_csvs\november\november_min_2.csv,20,8,"2
38",0
collected_csvs\november\november_min_2.csv,3,11,ZZ,0
collected_csvs\november\november_min_2.csv,5,11,"2,7",0
collected_csvs\november\november_min_2.csv,2,12,L,0
collected_csvs\november\november_min_2.csv,4,12,til,0
collected_csvs\november\november_min_2.csv,1,14,"✓
23",0
collected_csvs\november\november_min_2.csv,18,14,se,0
collected_csvs\november\november_min_2.csv,20,14,"137
V",0
collected_csvs\november\november_min_2.csv,4,15,9/,0
collected_csvs\november\november_min_2.csv,16,15,J6,0
collected_csvs\november\november_min_2.csv,17,15,"30
30",0
collected_csvs\november\november_min_2.csv,4,17,J,0
collected_csvs\november\november_min_2.csv,3,18,X,0
collected_csvs\november\november_min_2.csv,1,20,"25
25",0
collected_csvs\november\november_min_2.csv,18,20,L,0
collected_csvs\november\november_min_2.csv,9,21,SI,0
collected_csvs\november\november_min_2.csv,19,21,"26""",0
collected_csvs\november\november_min_2.csv,5,22,4x,0
collected_csvs\november\november_min_2.csv,13,22,+,0
collected_csvs\november\november_min_2.csv,4,23,bl,0
collected_csvs\november\november_min_2.csv,19,23,&,0
collected_csvs\november\november_min_2.csv,1,24,"L
29",0
collected_csvs\november\november_min_2.csv,13,25,TE,0
collected_csvs\november\november_min_2.csv,15,25,"L
35",0
collected_csvs\november\november_min_2.csv,3,26,Ja,0
collected_csvs\november\november_min_2.csv,5,27,"L
2J",0
collected_csvs\november\november_min_2.csv,4,28,3/,0
collected_csvs\november\november_min_2.csv,9,28,D½,0
collected_csvs\november\november_min_2.csv,16,28,"30
30",0
collected_csvs\november\november_min_2.csv,20,28,4-1,0
collected_csvs\november\november_min_2.csv,16,31,Se,0
collected_csvs\november\november_min_2.csv,18,31,Pe,0
