file,row,col,value
collected_csvs\november\november_min_2.csv,3,18,X
collected_csvs\november\november_min_2.csv,1,20,"25
25"
collected_csvs\november\november_min_2.csv,18,20,L
collected_csvs\november\november_min_2.csv,9,21,SI
collected_csvs\november\november_min_2.csv,19,21,"26"""
collected_csvs\november\november_min_2.csv,5,22,4x
collected_csvs\november\november_min_2.csv,13,22,+
collected_csvs\november\november_min_2.csv,4,23,bl
collected_csvs\november\november_min_2.csv,19,23,&
collected_csvs\november\november_min_2.csv,1,24,"L
29"
collected_csvs\november\november_min_2.csv,13,25,TE
collected_csvs\november\november_min_2.csv,15,25,"L
35"
collected_csvs\november\november_min_2.csv,3,26,Ja
collected_csvs\november\november_min_2.csv,5,27,"L
2J"
collected_csvs\november\november_min_2.csv,4,28,3/
collected_csvs\november\november_min_2.csv,9,28,D½
collected_csvs\november\november_min_2.csv,16,28,"30
30"
collected_csvs\november\november_min_2.csv,20,28,4-1
collected_csvs\november\november_min_2.csv,16,31,Se
collected_csvs\november\november_min_2.csv,18,31,Pe
